movieId,avg_rating,count_rating,overall_avg_rating,title,genres,genres_array,no_of_genres
1,3.9209302325581397,215,3.262448274810963,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5
2,3.4318181818181817,110,3.262448274810963,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']",3
3,3.2596153846153846,52,3.262448274810963,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']",2
4,2.357142857142857,7,3.262448274810963,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",3
5,3.0714285714285716,49,3.262448274810963,Father of the Bride Part II (1995),Comedy,['Comedy'],1
6,3.946078431372549,102,3.262448274810963,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",3
7,3.185185185185185,54,3.262448274810963,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']",2
8,2.875,8,3.262448274810963,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']",2
9,3.125,16,3.262448274810963,Sudden Death (1995),Action,['Action'],1
10,3.496212121212121,132,3.262448274810963,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",3
11,3.6714285714285713,70,3.262448274810963,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",3
12,2.4210526315789473,19,3.262448274810963,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']",2
13,3.125,8,3.262448274810963,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']",3
14,3.8333333333333335,18,3.262448274810963,Nixon (1995),Drama,['Drama'],1
15,3.0,13,3.262448274810963,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']",3
16,3.926829268292683,82,3.262448274810963,Casino (1995),Crime|Drama,"['Crime', 'Drama']",2
17,3.7761194029850746,67,3.262448274810963,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']",2
18,3.7,20,3.262448274810963,Four Rooms (1995),Comedy,['Comedy'],1
19,2.727272727272727,88,3.262448274810963,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy'],1
20,2.5,15,3.262448274810963,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",5
21,3.49438202247191,89,3.262448274810963,Get Shorty (1995),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']",3
22,3.2222222222222223,36,3.262448274810963,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",5
23,3.125,16,3.262448274810963,Assassins (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",3
24,3.125,28,3.262448274810963,Powder (1995),Drama|Sci-Fi,"['Drama', 'Sci-Fi']",2
25,3.625,76,3.262448274810963,Leaving Las Vegas (1995),Drama|Romance,"['Drama', 'Romance']",2
26,3.5,13,3.262448274810963,Othello (1995),Drama,['Drama'],1
27,3.3333333333333335,9,3.262448274810963,Now and Then (1995),Children|Drama,"['Children', 'Drama']",2
28,4.2272727272727275,11,3.262448274810963,Persuasion (1995),Drama|Romance,"['Drama', 'Romance']",2
29,4.0131578947368425,38,3.262448274810963,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",5
30,3.0,3,3.262448274810963,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"['Crime', 'Drama']",2
31,3.1842105263157894,38,3.262448274810963,Dangerous Minds (1995),Drama,['Drama'],1
32,3.983050847457627,177,3.262448274810963,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['Mystery', 'Sci-Fi', 'Thriller']",3
34,3.65234375,128,3.262448274810963,Babe (1995),Children|Drama,"['Children', 'Drama']",2
36,3.8358208955223883,67,3.262448274810963,Dead Man Walking (1995),Crime|Drama,"['Crime', 'Drama']",2
38,2.125,4,3.262448274810963,It Takes Two (1995),Children|Comedy,"['Children', 'Comedy']",2
39,3.293269230769231,104,3.262448274810963,Clueless (1995),Comedy|Romance,"['Comedy', 'Romance']",2
40,4.25,2,3.262448274810963,"Cry, the Beloved Country (1995)",Drama,['Drama'],1
41,3.7,15,3.262448274810963,Richard III (1995),Drama|War,"['Drama', 'War']",2
42,3.0,7,3.262448274810963,Dead Presidents (1995),Action|Crime|Drama,"['Action', 'Crime', 'Drama']",3
43,3.1875,8,3.262448274810963,Restoration (1995),Drama,['Drama'],1
44,2.5434782608695654,46,3.262448274810963,Mortal Kombat (1995),Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']",3
45,3.3125,32,3.262448274810963,To Die For (1995),Comedy|Drama|Thriller,"['Comedy', 'Drama', 'Thriller']",3
46,3.066666666666667,15,3.262448274810963,How to Make an American Quilt (1995),Drama|Romance,"['Drama', 'Romance']",2
47,3.9753694581280787,203,3.262448274810963,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"['Mystery', 'Thriller']",2
48,3.1470588235294117,68,3.262448274810963,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",5
